seed,profile_id,total_energy,electricity_cost,mean_temperature_deviation,total_discomfort,safety_violations,cumulative_reward,peak_hvac_energy,minimum_temperature,maximum_temperature,comfort_band_pct
42,validation_day_0012,4.0228517185896635,3.005004247632163,0.2030636280944996,0.0,0,-1.8078563651033315,0.33806926012039185,21.614984868691128,22.571720933468605,100.0
42,validation_day_0013,3.4278247952461243,2.64684168204242,0.46065199047564914,0.0,0,-1.5577157749823214,0.2743633985519409,21.31038121372531,21.76618109151507,100.0
42,validation_day_0014,3.5511803682893515,2.7955215513788105,0.2385123684804702,0.0,0,-1.6244584207625674,0.32636433839797974,21.541344630413647,22.206089110070796,100.0
42,validation_day_0015,4.103745149448514,3.145511620555388,0.2715489837810246,0.0,0,-1.860225868945632,0.4153785705566406,21.969613404266262,22.58636403638883,100.0
42,validation_day_0016,4.263422789052129,3.2269822002545596,0.27661679619788365,0.0,0,-1.9244232767665506,0.32738935947418213,21.568385828661384,22.623737284677112,100.0
42,validation_day_0017,3.9277975782752037,3.094200725297154,0.23519526014112793,0.0,0,-1.797179418541992,0.33791691064834595,21.789072829602375,22.64830420884575,100.0
42,validation_day_0018,3.760867327451706,2.908955899604036,0.20881182068964943,0.0,0,-1.710051378156319,0.3624700903892517,21.687078645387384,22.38076782747925,100.0
42,validation_day_0019,3.6710252575576305,2.8406162611808305,0.21456097810718275,0.0,0,-1.6694308295034552,0.3559628129005432,21.3482621389194,22.492985424533185,100.0
42,validation_day_0020,3.396180398762226,2.5763216115600454,0.5476352021488138,0.0,0,-1.5341184419406768,0.3406628370285034,21.00841859664929,22.380087926154694,100.0
42,validation_day_0021,5.156679563224316,3.8951272236195407,0.9079030527450027,1.2045418313928877,0,-2.807846046248358,0.4571325182914734,22.567979413235896,23.25315887588341,70.83333333333334
42,validation_day_0022,3.83973203971982,2.9421931313268535,0.17786825015094512,0.0,0,-1.7403582381813167,0.3600531816482544,21.695331088716372,22.67937793727068,100.0
42,validation_day_0023,3.793752785772085,2.9482773465565955,0.14543232709090445,0.0,0,-1.7277813050429447,0.2970390319824219,21.66609696591934,22.29444413040161,100.0
42,validation_day_0024,3.934664249420166,3.01172144562575,0.18414335858585038,0.0,0,-1.7827435639511997,0.3995237946510315,21.525621447731837,22.419251206777,100.0
42,validation_day_0025,3.375457914546132,2.585288530126926,0.5753746970054765,0.0,0,-1.5296950803892249,0.2916252613067627,21.080412873590156,21.72002805079581,100.0
42,validation_day_0026,4.112482987344265,3.1110922121848237,0.2589308538161106,0.0,0,-1.855963338640244,0.3890077471733093,21.636943817723186,22.901391782469897,100.0
42,validation_day_0027,3.826856330037117,2.9039075362149434,0.16844293874275515,0.0,0,-1.7288384062541238,0.3650733232498169,21.55898327963867,22.249856949075717,100.0
42,validation_day_0028,3.363693118095398,2.5558007054261513,0.40769541909734147,0.0,0,-1.5202680765138497,0.2858589291572571,21.334384374709735,21.904197998143964,100.0
42,validation_day_0029,3.3025763016194105,2.658924721666076,0.34848251875916647,0.0,0,-1.5225578348190383,0.3506457209587097,21.28379431087928,22.132894668928454,100.0
42,validation_day_0030,3.875504495576024,3.013041937279504,0.22514178555117045,0.0,0,-1.7652597361287081,0.3873140215873718,21.595853994043622,22.522283487443907,100.0
123,validation_day_0001,3.4906743988394737,2.6802649816184574,0.4640701181193864,0.0,0,-1.5832553159755336,0.32271525263786316,21.187997042883186,21.911753814054638,100.0
123,validation_day_0002,3.5924602672457695,2.7988749028380417,0.3335305995525135,0.0,0,-1.6375130607413393,0.27848222851753235,21.33291156955567,21.980010365034662,100.0
123,validation_day_0003,4.564141548238695,3.5353285185916246,0.4836142579494617,0.0,0,-2.076308168189933,0.3740311861038208,21.860648135980668,22.81675133317486,100.0
123,validation_day_0004,4.170118443667889,3.24262345078725,0.2947142281302703,0.0,0,-1.8995602232578166,0.31959399580955505,21.13303549480482,22.4493497442556,100.0
123,validation_day_0005,3.596737891435623,2.751639476207097,0.3964669983728055,0.0,0,-1.6293492626721062,0.28555697202682495,21.185947546970446,21.83427690777673,100.0
123,validation_day_0006,4.39207935705781,3.4009000710369075,0.3800683807769401,0.0,0,-1.9978038213247244,0.34634241461753845,21.51320982409688,22.75934756302249,100.0
123,validation_day_0007,3.997744109481573,3.050417680254347,0.16729082668266582,0.0,0,-1.8094067688953412,0.3539874255657196,21.67897388942022,22.433747520915414,100.0
123,validation_day_0008,3.685082420706749,2.7970791743277843,0.42788984438763916,0.000501653153246906,0,-1.6651412223388802,0.33129456639289856,20.999498346846753,22.18253806864866,95.83333333333334
123,validation_day_0009,3.4850896075367928,2.721986787400379,0.3761842398357918,0.0,0,-1.5899242397411137,0.3291611671447754,21.193838333058583,22.020089220416423,100.0
123,validation_day_0010,4.023662086576223,3.198343737107129,0.18618512281635655,0.0,0,-1.8467673733942929,0.3297303020954132,21.81232179336659,22.455513524620848,100.0
123,validation_day_0011,4.0852429792284966,3.186507549879727,0.1832220822673579,0.0,0,-1.8628744037444942,0.32682135701179504,21.897269547305704,22.421739012769173,100.0
123,validation_day_0012,4.054901145398617,3.0805597915396494,0.17529759225140765,0.0,0,-1.832582301927515,0.31504586338996887,21.61872277139373,22.45947972774894,100.0
123,validation_day_0013,3.571872316300869,2.6989468468670004,0.48833334168738113,0.11542308679214841,0,-1.6575202989805202,0.3026181161403656,20.890761460991936,21.924859786070247,91.66666666666666
123,validation_day_0014,3.6152831725776196,2.8392567572400815,0.30743645239279305,0.0,0,-1.652436303221302,0.3312978148460388,21.1850451551686,22.176388333432143,100.0
123,validation_day_0015,4.191118650138378,3.1809700163979024,0.2667971417533548,0.0,0,-1.893529598321094,0.38695552945137024,21.642994284780585,22.754473969869796,100.0
123,validation_day_0016,4.226785659790039,3.2266160218700795,0.32458799656816906,0.0,0,-1.9133589023110276,0.31818994879722595,21.43144579133836,22.540483546611974,100.0
123,validation_day_0017,4.068076238036156,3.17830327522421,0.16244030072800145,0.0,0,-1.8560835264556887,0.33011823892593384,21.786512572168157,22.407804725733847,100.0
123,validation_day_0018,3.9428037144243717,3.0230596124811866,0.17441042071100746,0.0,0,-1.7874530368235488,0.3028367757797241,21.639317993060953,22.33895017208672,100.0
123,validation_day_0019,3.7755759805440903,2.9232171292962446,0.16067519193364146,0.0,0,-1.717316220022476,0.32635974884033203,21.429718707300136,22.217113338010474,100.0
